Cohort	AnimalID	Genotype	Geno	Sex	Diet	0	15	30	60	90	120	Dose	Weight	Weeks
1	3A1	InsRf/f:Ins1Cre+/-:nTnG+/-	InsRCre	Female	HFD	6.1	30	25.2	13.7	10	9.4	2	29.7	9
1	3A2	InsRf/f:Ins1Cre+/-:nTnG+/-	InsRCre	Female	HFD	8.1	27.3	20.6	12.2	12.3	10.1	2	22.5	9
1	5A3	InsRf/f:Ins1Cre+/-:nTnG+/-	InsRCre	Female	HFD	8.9	24.7	23.3	17.9	11.6	10.3	2	28.3	9
1	6A1	InsRf/f:Ins1Cre+/-:nTnG+/-	InsRCre	Female	HFD	7.3	29.8	20.8	12.7	10.2	8.6	2	26	9
2	3B1	InsRf/f:Ins1Cre+/-:nTnG+/-	InsRCre	Female	HFD	7.8	28.2	21.6	13.7	9.6	10.3	2	22.6	9
2	3B3	InsRf/f:Ins1Cre+/-:nTnG+/-	InsRCre	Female	HFD	6.9	25.9	23.9	18.4	9.9	8.3	2	23.5	9
2	5B2	InsRf/f:Ins1Cre+/-:nTnG+/-	InsRCre	Female	HFD	7.2	23.9	26.4	16.8	9.9	7.1	2	31.6	9
3	2C1	InsRf/f:Ins1Cre+/-:nTnG+/-	InsRCre	Female	HFD	8.4	23.1	20	14.8	12.7	10.2	2	33.3	9
3	8B2	InsRf/f:Ins1Cre+/-:nTnG+/-	InsRCre	Female	HFD	6.2	20.9	16.6	8.5	8.1	7.1	2	21.5	9
4	1D5	InsRf/f:Ins1Cre+/-:nTnG+/-	InsRCre	Female	HFD	8.8	19	22.7	18.4	16.3	11.7	2	27	9
4	3D1	InsRf/f:Ins1Cre+/-:nTnG+/-	InsRCre	Female	HFD	9.2	28	16.1	11.8	9.1	8.2	2	32.3	9
4	4D5	InsRf/f:Ins1Cre+/-:nTnG+/-	InsRCre	Female	HFD	9.5	20.3	18.9	15.9	12.2	10.8	2	35.1	9
4	8C3	InsRf/f:Ins1Cre+/-:nTnG+/-	InsRCre	Female	HFD	8.6	27.2	20.4	13.9	8.8	7.8	2	26.2	9
